wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
n11291284	bn:00003981n	n	Segovia, Andres_Segovia	andres_segovia, segóvia, andré_ségovia, andrès_segovia, andrés_segovia, andrés_segovia_torres	Spanish guitarist who made classical guitar a concert instrument (1893-1987)	0.176	12	8
n11136405	bn:00003990n	n	Lloyd_Webber, Andrew_Lloyd_Webber, Baron_Lloyd_Webber_of_Sydmonton	andrew_lloyd_webber	English composer of many successful musicals (some in collaboration with Sir Tim Rice) (born in 1948)	0.401	12	8
n06867218	bn:00015177n	n	natural, cancel	annulation, becarre, ♮, bécarre	a notation cancelling a previous sharp or flat	0.536	7	7
n07048928	bn:00004526n	n	anthem	anthem, hymne	a song of devotion or loyalty (as to a nation or school)	0.461	3	7
n07049055	bn:00056917n	n	national_anthem	anthem, hymne_nationale, hymne_national, hymnes_nationaux	a song formally adopted as the anthem for a nation	0.24	4	8
n07048782	bn:00004716n	n	antiphony	antienne	alternate (responsive) singing by a choir in two parts	0.6	1	5
n07033245	bn:00004714n	n	antiphon, antiphony	antienne, antiphone	a verse or song to be chanted or sung in response	0.282	3	6
n10938640	bn:00004765n	n	Domino, Fats_Domino, Antoine_Domino	antoine_dominique_domino, fats_domino	United States rhythm and blues pianist and singer and composer (born in 1928)	0.649	12	8
n10868025	bn:00004769n	n	Bruckner, Anton_Bruckner	anton_bruckner, anton_brückner	Austrian organist and composer of romantic music (1824-1896)	0.528	12	8
n11273286	bn:00004771n	n	Rubinstein, Anton_Rubenstein, Anton_Gregor_Rubinstein, Anton_Grigorevich_Rubinstein	anton_rubinstein	Russian composer and pianist (1829-1894)	0.504	12	8
n10946961	bn:00004773n	n	Dvorak, Antonin_Dvorak	antonin_dvorák, antonín_dvořák	Czech composer who combined folk elements with traditional forms (1841-1904)	0.496	12	8
n11367910	bn:00004780n	n	Vivaldi, Antonio_Vivaldi, Antonio_Lucio_Vivaldi	antonio_lucio_vivaldi, antonio_vivaldi	Italian baroque composer and violinist (1675-1741)	0.369	12	8
n11320821	bn:00004782n	n	Stradivari, Antonio_Stradivari, Stradivarius, Antonius_Stradivarius	antonio_stradivarius, antonio_stradivari, stradivarius, stradivari	Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)	0.26	11	7
n11103648	bn:00005302n	n	Khachaturian, Aram_Khachaturian, Aram_Ilich_Khachaturian	aram_khachaturian, aram_khatchatourian, aram_khatchaturian, khachaturian, khatchaturian	Russian composer (born in Armenia) whose works are romantic and reflect his interest in folk music (1903-1978)	0.358	12	8
n10910948	bn:00005378n	n	Corelli, Arcangelo_Corelli	arcangelo_corelli, corelli	Italian violinist and composer of violin concertos (1653-1713)	0.496	12	8
n07087508	bn:00005646n	n	arioso	arioso	(music) a short recitative that is melodic but is not an aria	0.841	4	8
n11285902	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	arnold_schoenberg, arnold_schonberg, arnold_schönberg, arnold_franz_walter_schönberg	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0.503	12	8
n06869610	bn:00005858n	n	arpeggio	arpege, arpège, arpèges, arpège_de_guitare	a chord whose notes are played in rapid succession rather than simultaneously	0.771	9	9
n00939628	bn:00005866n	n	arrangement, arranging, transcription	arrangement, transcription	the act of arranging and adapting a piece of music	0.795	11	9
n07038400	bn:00005865n	n	musical_arrangement, arrangement	arrangement_musical, arrangements_musicaux, arrangement	a piece of music that has been adapted for performance by a particular set of voices or instruments	0.823	2	6
n00048225	bn:00005885n	n	arrival, reaching	arrival	accomplishment of an objective	0.828	9	7
n07059626	bn:00027490n	n	disco, disco_music	art_disco, boite_de_nuit, costume_disco, danse_disco, disco_art, disco_dance, disco_music, disco_night, disco, musique_disco, discothèque	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques	0.739	3	6
n01133760	bn:00021674n	n	conducting	art_du_chef_d'orchestre, direction_d'orchestre, direction_musicale, direction	the direction of an orchestra or choir	0.786	9	7
n06157326	bn:00061565n	n	performing_arts	art_du_spectacle, arts_du_spectacle_vivant, arts_du_spectacle, arts_vivants, spectacle_vivant, arts_de_la_scène	arts or skills that require public performance	0.17	10	8
n07025900	bn:00019566n	n	classical_music, classical, serious_music	art_music, classique, musique_classique, musique_dite_savante, musique_savante	traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste	0.602	2	5
n07065333	bn:00005947n	n	progressive_rock, art_rock	art_rock, rock_progressif	a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing	0.833	4	7
n11332688	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	art_tatum	United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)	0.633	12	8
n10970488	bn:00006095n	n	Fiedler, Arthur_Fiedler	arthur_fiedler	popular United States conductor (1894-1979)	0.469	12	8
n11057679	bn:00006098n	n	Honegger, Arthur_Honegger	arthur_honegger, arthur_honneger, oscar-arthur_honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0.359	12	8
n11296429	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	arthur_jacob_arshawsky, artie_shaw	United States clarinetist and leader of a swing band (1910-2004)	0.494	12	8
n11273479	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	arthur_rubinstein, artur_rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0.49	12	8
n11324212	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	arthur_seymour_sullivan, arthur_sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0.617	12	8
n06392935	bn:00006123n	n	article, clause	article, clause	a separate section of a legal document (as a statute or contract or will)	0.182	2	6
n11285456	bn:00006198n	n	Schnabel, Artur_Schnabel	artur_schnabel, schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0.639	12	8
n11346257	bn:00006199n	n	Toscanini, Arturo_Toscanini	arturo_toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0.599	12	8
n10338707	bn:00051488n	n	murderer, liquidator, manslayer	assassine, assassin, meurtrier, meurtrière	a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)	0.006	9	5
n06864014	bn:00006943n	n	atonality, atonalism	atonalisme, musique_atonale, atonalité	the absence of a key; alternative to the diatonic system	0.663	7	7
n00794614	bn:00007121n	n	audition, tryout	audition	a test of the suitability of a performer	0.421	10	8
n07030376	bn:00007149n	n	augmentation	augmentation	the statement of a theme in notes of greater duration (usually twice the length of the original)	0.882	4	8
n04727214	bn:00002187n	n	air, aura, atmosphere	aura	a distinctive but intangible quality surrounding a person or thing	0.779	6	4
n10624540	bn:00008155n	n	songwriter, songster, ballad_maker	auteur-compositeur, autrice-compositrice	a composer of words or music for popular songs	0.722	12	8
n08465558	bn:00007432n	n	avant-garde, vanguard, van, new_wave	avant-gardes, avant-garde, l'avant-garde	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0.471	8	6
n11105298	bn:00007606n	n	King, B._B._King, Riley_B_King	b._b._king, b.b._king, b.b.king, bb_king, riley_b._king	United States guitar player and singer of the blues (born in 1925)	0.519	12	8
n10830229	bn:00007700n	n	Bach, Johann_Sebastian_Bach	bach, johann_sebastian_bach, jean-sébastien_bach	German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)	0.456	12	8
n07046917	bn:00069583n	n	scherzo	badinerie, scherzando, scherzi, scherzo	a fast movement (usually in triple time)	0.83	3	7
n07042498	bn:00007935n	n	bagatelle	bagatelle	a light piece of music for piano	0.865	2	6
n02809364	bn:00009041n	n	baton, wand	baguette_blanche, baguette_de_chef_d'orchestre, baguette_de_direction, baguette, bâton	a thin tapered rod used by a conductor to lead an orchestra or choir	0.569	12	8
n09952539	bn:00021678n	n	conductor, music_director, director	baguette_d'orchestre, chef_d'orchestre, cheffe_d’orchestre	the person who leads a musical group	0.791	11	7
n03715669	bn:00042732n	n	mallet, hammer	baguettes	a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.	0.5	13	9
n13284442	bn:00045292n	n	hush_money	bakchich, pot-de-vin	a bribe paid to someone to insure that something is kept secret	0.5	11	9
n02776978	bn:00008042n	n	balalaika	balalaika, balalaïka	a stringed instrument that has a triangular body and three strings	0.361	14	10
n10091012	bn:00015163n	n	fink, snitch, snitcher, stoolpigeon, stool_pigeon, stoolie, sneak, sneaker, canary	balance, indicateur, indic, informateur, mouchard, délateur, dénonciateur	someone acting as an informer or decoy for the police	0.339	11	7
n09837201	bn:00008316n	n	bandleader	bandleader, chef_de_fanfare, chef_de_l'harmonie	the leader of a dance band	0.946	12	8
n02786736	bn:00008319n	n	bandoneon	bandoleon, bandoneon, peguri, bandoléon, bandonéon, bandonéons, bandoneon_peguri_système	a type of concertina popular in South America	0.448	15	11
n11322178	bn:00008549n	n	Streisand, Barbra_Streisand, Barbra_Joan_Streisand	barbara_joan_streisand, barbra_streisand	United States singer and actress (born in 1942)	0.309	12	8
n07049931	bn:00008552n	n	barcarole, barcarolle	barcarolle, barcarole	a boating song sung by Venetian gondoliers	0.738	3	7
n09839436	bn:00008586n	n	baritone, barytone	bariton, baryton-basse, baryton_basse, baryton	a male singer	0.913	12	8
n06800698	bn:00008483n	n	bar_line	barre_de_mesure	a vertical line before the accented beat marking the boundary between musical bars	0.752	6	6
n03603199	bn:00048410n	n	juke, jook, juke_joint, jook_joint, juke_house, jook_house	barrel_house, juke_joint	a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox	0.649	14	10
n11173917	bn:00033993n	n	Mendelssohn, Felix_Mendelssohn, Jakob_Ludwig_Felix_Mendelssohn-Bartholdy	bartholdy, felix_mendelssohn-bartholdy, felix_mendelssohn, mendelssohn-bartholdy, mendelssohn_bartholdy, félix_mendelssohn, félix_mendelssohn_bartholdy	German musician and romantic composer of orchestral and choral works (1809-1847)	0.42	12	8
n10837258	bn:00008751n	n	Bartok, Bela_Bartok	bartok_bela, bartok, bela_bartok, bartók, bela_bartók, béla_bartok, béla_bartók	Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)	0.468	12	8
n02793089	bn:00008588n	n	baritone, baritone_horn	baryton, saxhorn_baryton	the second lowest brass wind instrument	0.629	14	10
n06872354	bn:00008916n	n	bass, bass_voice, basso	basse, base, bas	the lowest adult male singing voice	0.875	5	5
n04986796	bn:00008911n	n	bass	basse, grave	the lowest part of the musical range	0.712	8	6
n02804123	bn:00008923n	n	bass_guitar	basse, guitare_basse, basse_électrique, basse_éléctrique, guitare_basse_électrique	the guitar with six strings that has the lowest pitch	0.678	13	9
n04536153	bn:00080031n	n	viol	basse_de_viole, viola_da_gamba, viole_de_gambe, violes_de_gambe	any of a family of bowed stringed instruments that preceded the violin family	0.486	14	10
n07032556	bn:00008940n	n	figured_bass, basso_continuo, continuo, thorough_bass	basse_figurée, basse_chiffrée	a bass part written out in full and accompanied by numbers to indicate the chords to be played	0.867	4	8
n09842629	bn:00008939n	n	bassist	bassiste	a musician who play the bass viol	0.916	11	7
n09842716	bn:00008943n	n	bassoonist	bassoniste, basson	a musician who plays the bassoon	0.724	11	7
n10036929	bn:00028909n	n	drummer	batteur, tambour	someone who plays a drum	0.503	12	8
v01880673	bn:00083262v	v	beat	battre	indicate by beating, as with the fingers or drumsticks	0.8	99	99
v01726879	bn:00083265v	v	beat	battre	produce a rhythm by striking repeatedly	1.0	99	99
n08369920	bn:00009414n	n	Beatles	beatles, les_beatles, the_beatles	a rock group from Liverpool who between 1962 and 1970 produced a variety of hit songs and albums (most of them written by Paul McCartney and John Lennon)	0.558	10	8
n07063101	bn:00009460n	n	bop, bebop	be-bop, be_bop, bebop, bop	an early form of modern jazz (originating around 1940)	0.775	4	7
n11305159	bn:00009511n	n	Smetana, Bedrich_Smetana	bedrich_smetana, bredrich_smetana, smetana, bedřich_smetana	Czech composer (1824-1884)	0.417	12	8
a03028987	bn:00098189a	a	Beethovenian	beethovenien, beethovénien	of or relating to Ludwig van Beethoven or his music	1.0	99	99
n00546216	bn:00009681n	n	bel_canto	bel_canto	a style of operatic singing	0.752	11	9
a01578152	bn:00103062a	a	flat	bémol	(of a musical note) lowered in pitch by one chromatic semitone	1.0	99	99
n10864635	bn:00009935n	n	Britten, Benjamin_Britten, Edward_Benjamin_Britten, Lord_Britten_of_Aldeburgh	benjamin_britten, edward_benjamin_britten,_baron_britten_of_aldeburgh	major English composer of the 20th century; noted for his operas (1913-1976)	0.511	12	8
n11007332	bn:00009936n	n	Goodman, Benny_Goodman, Benjamin_David_Goodman, King_of_Swing	benjamin_david_goodman, benny_goodman	United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)	0.605	12	8
n00546738	bn:00023495n	n	lullaby, cradlesong	berceuse	the act of singing a quiet song to lull a child to sleep	0.5	11	9
n07051851	bn:00009999n	n	lullaby, cradlesong, berceuse	berceuses, berceuse	a quiet song intended to lull a child to sleep	0.425	3	7
n10847653	bn:00010031n	n	Berlioz, Hector_Berlioz, Louis-Hector_Berlioz	berlioz, hector_berlioz, hector_louis_berlioz, louis-hector_berlioz	French composer of romantic works (1803-1869)	0.4	12	8
n11305745	bn:00010096n	n	Smith, Bessie_Smith	bessie_smith	United States blues singer (1894-1937)	0.446	12	8
n11300326	bn:00009773n	n	Sills, Beverly_Sills, Belle_Miriam_Silverman	beverley_sills, beverly_sills	United States operatic soprano (born in 1929)	0.502	13	9
n08250168	bn:00010293n	n	big_band	big-band, big_bands, big_band, bigband	a large dance or jazz band usually featuring improvised solos by lead musicians	0.793	9	7
n11024226	bn:00010402n	n	Haley, Bill_Haley, William_John_Clifton_Haley_Jr.	bill_haley	United States rock singer who was one of the first to popularize rock'n'roll music (1925-1981)	0.451	13	9
n10916731	bn:00010497n	n	Crosby, Bing_Crosby, Harry_Lillis_Crosby	bing_crosby	United States singer and film actor (1904-1977)	0.296	11	7
n03597916	bn:00048180n	n	jew's_harp, jews'_harp, mouth_bow	biqqung, campurgne, chang, citaro, drumbla, guimbarda, guimbarde, guyud, hanche-en-ruban, komus, maranzano, muxukitarra, shan_kobyz, trompe-laquais, trompette_tsigane, trunfa, ulibao, vargane, vargas, tochelé, märistysrauta, harpe_à_bouche, trompe_de_béarn	a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity	0.331	12	8
n00099439	bn:00030701n	n	encore	bis, encore, rappel	an extra or repeated performance; usually given in response to audience demand	0.667	13	11
n07062190	bn:00011585n	n	bluegrass	blue_grass, bluegrass_music, bluegrass	a type of country music played at a rapid tempo on banjos and guitars	0.729	5	8
n07051517	bn:00011537n	n	blue_note	blue_notes, note_bleue	a flattened third or seventh	0.867	8	8
n07051185	bn:00011596n	n	blues	blues	a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes	0.635	3	6
n10947108	bn:00011703n	n	Dylan, Bob_Dylan	bob_dylan, robert_allen_zimmerman	United States songwriter noted for his protest songs (born in 1941)	0.525	12	8
n11157580	bn:00011705n	n	Marley, Robert_Nesta_Marley, Bob_Marley	bob_marley, norval_sinclair_marley, robert_nesta_marley	Jamaican singer who popularized reggae (1945-1981)	0.415	12	8
n09862713	bn:00011712n	n	bobbysoxer, bobby-socker	bobby-soxer	an adolescent girl wearing bobby socks (common in the 1940s)	0.28	12	8
n03801353	bn:00056446n	n	music_box, musical_box	boite_a_musique, boite_à_musique, boîte-à-musique, boîte_à_musique	produces music by means of pins on a revolving cylinder that strike the tuned teeth of a comb-like metal plate	0.229	12	8
n07055103	bn:00011854n	n	bolero	bolero, boléro_cubain	music written in the rhythm of the bolero dance	0.672	2	6
n02867267	bn:00011924n	n	bombardon, bombard	bombarde	a large shawm; the bass member of the shawm family	0.444	13	9
n07063249	bn:00012057n	n	boogie, boogie-woogie	boogie-woogie	an instrumental version of the blues (especially for piano)	0.725	4	7
n03436182	bn:00012150n	n	ghetto_blaster, boom_box	boombox, ghetto_blaster, ghettoblaster, radio-cassette, radio_cassette, radiocassette	a portable stereo	0.32	14	10
n07392483	bn:00041998n	n	rumble, rumbling, grumble, grumbling	borborygme, gargouillement, grondement	a loud low dull continuous noise	0.357	9	7
n11003599	bn:00012241n	n	Godunov, Boris_Godunov, Boris_Fyodorovich_Godunov	borís_godunov	czar of Russia (1551-1605)	0.458	11	7
n07377473	bn:00011127n	n	blare, blaring, cacophony, clamor, din	boucan, tapage, vacarme	a loud harsh or strident noise	0.5	9	7
n07390945	bn:00065847n	n	racket	boucan, tintamarre, vacarme	a loud and disturbing noise	1.0	9	7
n06572857	bn:00051985n	n	loop	boucle	a computer program that performs a series of instructions repeatedly until some specified condition is satisfied	0.704	9	9
n10859369	bn:00012409n	n	Boulez, Pierre_Boulez	boulez, lierdeman, pierre_boulez	French composer of serial music (born in 1925)	0.594	12	8
n03245724	bn:00012438n	n	drone, drone_pipe, bourdon	bourdon	a pipe of the bagpipe that is tuned to produce a single continuous tone	0.792	14	10
n07385803	bn:00045151n	n	hum, humming	bourdonnement, fredonnement	a humming noise	0.414	9	7
n10069427	bn:00032178n	n	executioner, public_executioner	bourreaux, bourreau, exécuteur_des_hautes-œuvres	an official who inflicts capital punishment in pursuit of a warrant	0.01	9	5
n08249336	bn:00012794n	n	brass_band	brass-band, brass_band, fanfare, street_band	a group of musicians playing only brass and percussion instruments	0.581	9	7
n13977366	bn:00021212n	n	disturbance, disruption, commotion, flutter, hurly_burly, to-do, hoo-ha, hoo-hah, kerfuffle	brouhaha, commotion, kerfuffle, tumulte, désordre	a disorderly outburst or tumult	0.8	7	5
n05720248	bn:00027739n	n	noise, dissonance, racket	bruit, dissonance	the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience	1.0	11	9
n07387509	bn:00057863n	n	noise	bruit_ambiant, bruit, bruyant, le_bruit, retentissement	sound of any kind (especially unintelligible or dissonant sound)	0.868	8	6
n05917869	bn:00072900n	n	sound_effect	bruitage, effet_sonore, effets_sonores	an effect that imitates a sound called for in the script of a play	0.323	10	8
n11372799	bn:00013482n	n	Walter, Bruno_Walter	bruno_walter	German conductor (1876-1962)	0.618	12	8
n11056654	bn:00013635n	n	Holly, Buddy_Holly, Charles_Hardin_Holley	buddy_holly	United States rock star (1936-1959)	0.553	13	9
n03369276	bn:00035420n	n	flugelhorn, fluegelhorn	bugle, fluegelhorn, fluggelhorn, saxhorn_soprano_en_si_♭	a brass instrument resembling a cornet but with a wider bore	0.624	14	10
n11307082	bn:00008654n	n	Snow, C._P._Snow, Charles_Percy_Snow, Baron_Snow_of_Leicester	c._p._snow, c.p._snow, charles_percy_snow	English writer of novels about moral dilemmas in academe (1905-1980)	0.315	10	6
n00520672	bn:00014420n	n	cabaret, floorshow, floor_show	cabarets, cabaret	a series of acts at a night club	0.213	11	9
n07045928	bn:00014520n	n	cadence	cadence_harmonique, cadence	the close of a musical section	0.806	3	7
n07046218	bn:00014522n	n	cadenza	cadences, cadence, cadenza	a brilliant solo passage occurring near the end of a piece of music	0.936	3	7
n04249415	bn:00071444n	n	snare_drum, snare, side_drum	caisse-claire, caisse_claire, caisses_claires, caisse	a small drum with two heads and a snare stretched across the lower head	0.526	14	10
n00530874	bn:00014612n	n	cakewalk	cake-walk, cakewalk	a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake	0.491	9	7
n02940706	bn:00014847n	n	calliope, steam_organ	calliope	a musical instrument consisting of a series of steam whistles played from a keyboard	0.329	12	8
a01918984	bn:00109359a	a	quiet	calme, silencieux	free of noise or uproar; or making little if any sound	1.0	99	99
n11278351	bn:00017839n	n	Saint-Saens, Charles_Camille_Saint-Saens	camille_saint-saens, camille_saint_saens, camille_saint-saëns, charles_camille_saint-saëns	French pianist and composer (1835-1921)	0.415	12	8
n07042862	bn:00015323n	n	canon	canon, kanon	a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts	0.712	2	6
n07053089	bn:00068381n	n	round, troll	canon, round	a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time	0.698	4	8
n07042249	bn:00015343n	n	cantata, oratorio	cantata, cantate, oratorio	a musical composition for voices and orchestra based on a religious text	0.572	3	6
v01049737	bn:00084481v	v	chant, intone, intonate, cantillate	cantiller	recite with musical intonation; recite as a chant or a psalm	0.833	99	99
n07036443	bn:00015360n	n	canticle	cantique	a hymn derived from the Bible	0.199	5	8
n09919771	bn:00015376n	n	choirmaster, precentor, cantor	cantor, chantre, grand-chantre, grand_chantre, chef_de_chœur	the musical director of a choir	0.296	11	7
n07035305	bn:00015378n	n	cantus_firmus	cantus_firmus	a melody used as the basis for a polyphonic composition	0.653	6	9
n05762998	bn:00045818n	n	recognition, identification	capitol_records, reconnaissance	the process of recognizing something or someone by remembering	0.827	9	7
n07280424	bn:00015703n	n	capriccio	capriccio, caprice	an instrumental composition that doesn't adhere to rules for any specific musical form and is played with improvisation	0.759	2	6
n03440682	bn:00040696n	n	glockenspiel, orchestral_bells	carillon, glockenspiel, jeu_de_timbres	a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers	0.718	13	9
n07055203	bn:00016086n	n	carioca	carioca	music composed for dancing the carioca	1.0	2	6
n00535455	bn:00016087n	n	carioca	carioca	a lively ballroom dance that resembles the samba	0.513	12	10
n11207006	bn:00016092n	n	Nielsen, Carl_Nielsen, Carl_August_Nielsen	carl_august_nielsen, carl_nielsen	Danish composer (1865-1931)	0.605	12	8
n10920366	bn:00024934n	n	Czerny, Karl_Czerny	carl_czerny, karl_czerny	Austrian virtuoso pianist and composer of many works for the piano; studied with Beethoven and was a teacher of Liszt (1791-1857)	0.634	12	8
n11378462	bn:00008648n	n	Weber, Carl_Maria_von_Weber, Baron_Karl_Maria_Friedrich_Ernst_von_Weber	carl_maria_von_weber	German conductor and composer of romantic operas (1786-1826)	0.447	12	8
